seqn,total_count
32011,1318878
32012,3107822
32013,1646760
32014,549471
32015,899066
32017,878019
32018,1602926
32019,1068766
32022,648932
32025,3501237
32026,1490072
32027,2268876
32030,704036
32033,2460726
32034,1968206
32035,1591121
32036,1077409
32037,3338036
32038,1410921
32039,831115
32040,3775024
32043,5426379
32045,307157
32046,1286783
32047,3904551
32048,1971727
32049,3100550
32050,2783995
32051,1545516
32052,3843014
32055,1746146
32058,1218025
32061,875308
32062,400478
32063,535823
32065,2303599
32066,1435942
32067,769112
32068,911245
32071,1475577
32073,1841888
32074,1393301
32075,1087227
32076,400080
32077,1088361
32078,7885
32079,703348
32082,1877599
32083,1925367
32084,1825682
32086,2005061
32088,117703
32089,1262676
32091,1323002
32092,2065359
32093,4059512
32094,993061
32097,1739216
32099,936311
32102,4047514
32103,1559970
32104,1398727
32107,2637240
32108,1769796
32109,2314635
32110,1999544
32111,2313256
32112,2333480
32113,3024375
32115,1946230
32117,1921641
32118,1319310
32120,9254
32122,1167428
32123,4244047
32124,3200556
32127,543747
32129,1880310
32130,1117970
32131,2402137
32132,828623
32133,1216537
32134,2464241
32135,531910
32136,1624145
32137,1531500
32138,1469419
32140,1119691
32141,462974
32142,4266386
32143,1568660
32145,477192
32146,1544986
32148,3056635
32149,1278626
32150,1837231
32151,2466828
32152,567223
32153,3058888
32155,4282854
32158,8305865
32162,945090
32163,1294010
32164,2091889
32165,5007609
32167,363434
32168,2523374
32172,2272150
32177,2274879
32179,1780041
32180,1691069
32181,403230
32182,3422464
32183,641637
32185,2106862
32186,405104
32188,3630968
32190,1175842
32191,1704995
32195,1367098
32196,4480924
32197,568022
32198,252376
32199,729512
32200,2142701
32201,967655
32202,916158
32203,1106634
32204,1570164
32205,1316103
32208,2129083
32210,2553389
32211,1012317
32212,2000720
32214,1579940
32216,1457940
32217,1184611
32218,299277
32221,2201798
32225,1309344
32226,4480318
32228,1855219
32230,1542933
32234,1029437
32236,1493551
32239,1168674
32240,1964562
32241,363185
32242,540397
32243,1931708
32244,3820577
32245,1644110
32248,2503079
32249,1972542
32250,122676
32251,520643
32254,2227683
32255,2754656
32257,24980
32261,3494793
32262,1427918
32266,2229622
32267,897281
32268,1275221
32270,1206950
32271,1749248
32272,670215
32273,1972833
32275,4603057
32276,878451
32278,2966422
32279,2021597
32280,9759
32281,2318356
32283,655915
32284,3174732
32285,4781888
32286,1395049
32287,1858521
32288,2627985
32290,1804820
32291,1791973
32294,301723
32295,2361236
32296,1145732
32298,2391177
32301,935462
32302,4660297
32303,3210403
32304,1744400
32306,1544762
32309,733203
32310,751766
32312,864780
32313,1904622
32314,1289966
32315,1318765
32316,987603
32317,1191321
32318,723833
32319,1807164
32320,3477152
32321,1719936
32324,781405
32325,2545016
32326,2829677
32328,419861
32329,2795617
32330,2422252
32331,741483
32333,1445331
32334,367837
32337,3748930
32338,1374310
32339,3866294
32342,1752316
32343,1243081
32344,3163102
32345,3178961
32346,4479884
32349,1962284
32350,982427
32352,3764064
32354,549642
32355,1438731
32356,1854310
32357,718816
32358,968284
32359,1015339
32360,1319282
32361,2262388
32362,75876
32364,680430
32367,2235194
32370,2002088
32373,2534132
32375,1584982
32377,209804
32378,1991587
32380,1264392
32381,1184677
32383,712353
32385,2869109
32388,1482738
32389,3141174
32390,592651
32391,1884418
32392,4271782
32393,1156667
32395,1319000
32396,2892405
32399,2755977
32400,1741701
32401,927835
32403,1185079
32404,207308
32405,42114
32406,2200718
32407,1102698
32408,5044380
32409,2085738
32411,1706926
32414,1148844
32419,973169
32420,2952653
32423,280006
32424,1539689
32427,1434410
32428,2451067
32430,802987
32431,1295944
32433,2204592
32436,1053936
32437,2192839
32438,1807389
32439,477838
32440,628138
32441,1616176
32442,2143317
32443,1463804
32444,692682
32445,1666559
32448,3118051
32453,381414
32454,1796448
32456,2432420
32458,2153408
32459,1205032
32461,2551556
32462,204317
32465,2102567
32467,1701759
32469,2074952
32472,2781897
32474,2464959
32475,1896336
32476,3606662
32477,1290909
32478,682402
32479,2503025
32480,945009
32481,1542984
32483,2334450
32484,1905246
32485,1677370
32488,2194418
32489,1487161
32490,1496599
32493,3814558
32494,1785669
32495,3407900
32498,1201445
32499,1019870
32500,1750437
32501,1943798
32502,1291800
32503,652480
32504,1623165
32506,2000234
32508,1527142
32509,705809
32513,805225
32514,2418844
32515,2105031
32516,3476659
32517,3667214
32518,2622531
32519,1593276
32520,1436961
32521,1178982
32522,2808883
32524,1789516
32526,2104665
32527,1850892
32528,1550643
32530,240007
32531,1377596
32532,5821332
32534,3380699
32537,1080693
32538,1763885
32540,327285
32541,1392233
32544,5034244
32548,1315436
32549,1779811
32550,3106082
32551,572801
32552,1023525
32555,2255455
32558,4286649
32559,2492417
32560,1165808
32564,542729
32565,1565721
32566,2548422
32567,2993904
32570,1384806
32572,693479
32574,283508
32575,2429861
32576,2158303
32577,1141642
32578,2870139
32580,2456327
32581,747061
32583,580799
32585,1489494
32586,848813
32588,1909508
32589,1851289
32591,1879111
32592,2863860
32594,1615764
32596,2503888
32597,2719076
32598,2799331
32599,1989898
32600,1510600
32601,697705
32602,140973
32603,1722861
32605,1620665
32606,2542
32609,1701024
32613,221104
32614,2222961
32615,503061
32616,617176
32621,306804
32622,2621413
32623,2734979
32624,479923
32625,1246267
32626,1934292
32629,2266116
32630,1244775
32631,4599401
32632,1338267
32634,1463958
32635,1799686
32636,1003501
32638,1274616
32639,2572881
32640,1316991
32641,4576237
32642,2728316
32644,1176087
32645,2009811
32646,4475104
32647,1541989
32648,451150
32649,1734748
32650,2399043
32651,874109
32653,2759605
32654,1737941
32657,657736
32660,3423323
32661,2142658
32662,2865756
32663,804723
32665,5017326
32666,571149
32670,2368407
32671,865311
32672,2744645
32673,1263867
32674,1619862
32675,1839954
32676,962532
32677,1296250
32680,1352076
32681,2036808
32683,2939710
32684,504000
32685,401387
32686,780422
32687,1486205
32688,1017199
32689,1833858
32690,1279267
