seqn,weekday,avg_daily
31145,4,461.6513966480447
31145,5,1049.6159822419534
31145,6,605.075500770416
31145,7,509.4068493150685
31146,1,414.95762711864404
31146,2,913.8538324420678
31146,3,393.40909090909093
31146,4,600.8893617021276
31146,5,532.4450261780105
31146,6,262.2950450450451
31146,7,204.5
31147,1,410.0756944444444
31147,2,715.3246471226927
31147,3,408.3392857142857
31147,4,441.02955195424215
31147,5,438.80788590604027
31147,6,749.8271221532091
31147,7,346.64375
31148,1,526.5
31148,2,191.9644495412844
31148,3,281.8950131233596
31148,4,152.75510204081633
31148,5,217.84117647058824
31148,6,332.335960591133
31148,7,126.58706467661692
31149,1,174.79218967921898
31149,2,123.0889423076923
31149,3,103.32734274711169
31149,4,169.57051282051282
31149,5,210.29493670886075
31149,6,196.18124207858048
31149,7,160.89965397923876
31150,1,161.86432748538013
31150,2,269.440414507772
31150,3,212.68343815513626
31150,4,277.1376050420168
31150,5,240.44479166666667
31150,6,260.23568281938327
31150,7,282.10744680851064
31151,1,163.2345945945946
31151,2,217.16016859852476
31151,3,256.1464393179539
31151,4,219.35021551724137
31151,5,289.33179723502303
31151,6,207.1730061349693
31151,7,183.63965884861406
31152,1,136.42727272727274
31152,2,234.78201634877385
31152,3,429.49876543209876
31152,4,192.53819444444446
31152,5,344.4934086629002
31152,6,197.86073059360731
31152,7,348.4776422764228
31153,1,177.63337893296853
31153,2,115.04125
31153,3,153.4295485636115
31153,4,267.6780487804878
31153,5,111.21948488241881
31153,6,181.82556750298687
31153,7,391.72712933753945
31155,1,291.86766712141883
31155,2,340.1043723554302
31155,3,232.18887262079062
31155,4,574.140243902439
31155,5,354.5081081081081
31155,6,416.584126984127
31155,7,221.79063360881543
31156,1,225.74193548387098
31156,2,228.3722304283604
31156,3,296.04694323144105
31156,4,177.12101063829786
31156,5,257.96897038081806
31156,6,249.0433436532508
31156,7,218.94323144104803
31157,1,345.4831804281346
31157,2,413
31157,3,561.6936936936937
31157,4,488
31157,5,903.52
31157,6,336
31157,7,92.5341935483871
31158,1,408.5684340320592
31158,2,188.6014405762305
31158,3,339.75407779171894
31158,4,292.87796610169494
31158,5,296.798418972332
31158,6,129.02436440677965
31158,7,202.90886998784933
31159,1,44.35087719298246
31159,3,330.1666666666667
31159,4,26.961165048543688
31160,1,533.6502546689304
31160,2,8840.309523809523
31160,3,375.78472222222223
31160,4,344.31447368421055
31160,5,671.2076124567474
31160,6,305.7239316239316
31160,7,321.6842105263158
31161,1,1130.6318874560375
31161,2,782.8573185731857
31161,3,552.0508298755186
31161,4,419.9170353982301
31161,5,539.6287234042553
31161,6,748.9288174512055
31161,7,391.94426229508196
31162,1,165.20576131687244
31162,2,132.61641221374046
31162,3,101.59597156398104
31162,4,113.92875647668394
31162,5,85.00130208333333
31162,6,148.23181818181817
31162,7,169.8104347826087
31164,1,122.34671532846716
31164,2,434.65344827586205
31164,3,539.3592760180995
31164,4,365.1948275862069
31164,5,496.0889679715302
31164,6,376.3163371488033
31164,7,192.83116883116884
31166,1,143.956749672346
31166,2,265.14833501513624
31166,3,296.7811839323467
31166,4,47.03557312252964
31166,5,129.0503978779841
31166,6,165.7945205479452
31166,7,67.41770715096482
31167,1,417.57239819004525
31167,2,657.2167019027485
31167,3,484.1149171270718
31167,4,443.64047151277015
31167,5,495.46751968503935
31167,6,526.0088987764183
31167,7,658.7557251908397
31170,1,179.58740359897172
31170,2,261.9477693144722
31170,3,120.99646643109541
31170,4,192.09600997506234
31170,5,214.52270210409745
31170,6,304.13070283600496
31170,7,539.3261744966443
31171,1,611.7403598971722
31171,2,714.204268292683
31171,3,452.40586245772266
31171,4,711.0379346680717
31171,5,823.5453563714902
31171,6,485.40676328502417
31171,7,412.74594594594595
31172,1,163.17678100263853
31172,2,91.43923865300147
31172,3,68.91453940066593
31172,4,209.43045112781954
31172,5,309.7616191904048
31172,6,35.26057529610829
31172,7,353.9173913043478
31173,1,735.7654545454545
31173,2,54.44038929440389
31173,3,843.3215859030837
31173,4,484.0888157894737
31173,5,608.4978118161926
31173,6,529.5274212368728
31173,7,239.41600633914422
31174,2,476.51630434782606
31174,3,2067
31174,4,845.1515748031496
31174,5,25.142857142857142
31174,6,585.9240986717267
31174,7,687.2672233820459
31177,1,234.7855421686747
31177,2,143.010296010296
31177,3,192.4655172413793
31177,4,209.26927639383155
31177,5,148.07730061349693
31177,6,130.33478893740903
31177,7,471.5
31178,2,306.8589211618257
31178,3,392.59634146341466
31178,4,274.6902552204176
31178,5,216.53714285714287
31178,6,431.7401709401709
31178,7,4368.875
31179,1,118.28997867803838
31179,2,117.36997885835095
31179,3,98.60792492179354
31179,4,72.52742616033755
31179,5,70.08246346555323
31179,6,111.41497975708502
31179,7,157.8426724137931
31183,1,498.86230636833045
31183,2,326.94747899159665
31183,3,275.89604519774014
31183,4,405.8973799126638
31183,5,208.0303907380608
31183,6,172.64570230607967
31183,7,395.091697645601
31186,1,503.6557213930348
31186,2,578.6414538310413
31186,3,344.0745672436751
31186,4,569.4821782178218
31186,5,353.08768035516096
31186,6,575.0869565217391
31186,7,340.5990099009901
31187,1,546.8553791887125
31187,2,291.21790341578327
31187,3,289.2109181141439
31187,4,284.96651270207855
31187,5,369.19718309859155
31187,6,288.26832018038334
31187,7,577.2378698224852
31189,1,864.3021276595745
