seqn,grand_avg
31778,348.457743930862
31779,387.92844675807794
31780,556.543128439665
31781,153.9145204903638
31784,464.3934474466978
31785,157.88909927162132
31786,642.6017935094088
31787,664.7002647283458
31788,455.98142228901304
31789,245.62672397956945
31790,363.4611402222418
31792,499.36720834933243
31793,570.3176346696229
31795,287.03814241848005
31796,214.18042291994195
31799,311.7560423800287
31800,258.0227521681488
31801,170.3022767056354
31802,272.6457566482527
31804,215.26409209338684
31806,592.3686774108962
31807,258.5174990499576
31808,75.49304022548672
31811,503.08011417035897
31813,236.60352806933852
31814,395.40229973933197
31816,121.85809594737168
31817,858.9889853363705
31819,329.21248233098737
31820,288.42742827917647
31821,270.6626548186499
31822,386.1616855039809
31823,567.8193851300782
31824,231.7804108136301
31827,205.4842222259199
31828,495.86319502696114
31830,214.389360223041
31831,326.3612136402735
31833,736.5844415093695
31835,367.86188570527725
31837,387.8207201703601
31838,270.94481650175896
31839,583.9907714073645
31843,457.2295258474016
31844,443.5297619047619
31847,162.41529297456273
31849,408.77658464299935
31850,853.7188463493783
31854,462.68351289885214
31855,273.9920054113557
31857,311.01992716616036
31858,264.2175674585728
31859,473.3364782528336
31862,519.7341632993329
31863,128.2914215687616
31864,199.49738065019588
31865,594.3479504259643
31866,254.18116348386943
31868,428.67716230179434
31870,156.2379947005111
31871,225.02910158545436
31872,573.3659340659341
31873,363.28106102747637
31874,398.520725404388
31877,144.4790892660811
31878,352.64599771097926
31879,493.43573954656796
31884,335.54965384572193
31885,618.0045284662006
31886,656.5556823878264
31888,204.66010300351644
31889,183.0175790017041
31890,380.195550519779
31893,218.04743149014757
31894,254.7737042261862
31896,626.9530518336605
31897,41.60439992370895
31898,166.03744158537253
31899,677.0870149241083
31903,163.58233947753186
31905,220.28960857521028
31909,615.5521427060651
31912,388.26195995036545
31913,295.80976038389963
31914,484.51351979131863
31919,142.86878009835564
31920,323.0859702664446
31922,283.68371306928356
31923,272.18075180659946
31924,342.2206706566615
31925,391.1589436902598
31926,266.80392156862746
31929,113.02520303268179
31931,263.82476450868603
31932,529.0780625660408
31933,573.5504129417621
31934,367.72230979700873
31936,243.26269779657184
31937,163.0316579509011
31939,512.6172946526186
31940,652.5153958714312
31944,131.0930322552458
31945,105.90821692644593
31946,124.93071151587782
31947,117.2575472333135
31948,395.71077732935163
31949,974.5854132624164
31950,395.1899226305495
31951,590.5394784492935
31952,1200.9538393570704
31953,484.59267475993835
31957,243.85927735806084
31958,317.2687341505304
31959,287.27421309583667
31960,583.174740350742
31961,692.8914548813385
31962,438.2472069884369
31963,881.6340852130326
31964,77.83635607491925
31966,229.04431901729683
31967,251.56689433025943
31968,464.91795342308836
31969,262.1892292490119
31970,317.21105977913993
31971,344.09857947233434
31972,109.50186941593823
31973,246.1419201280112
31974,333.4706649948918
31975,158.36474888695196
31976,261.94212589881687
31977,301.8062322691076
31978,503.46322361405856
31979,441.3090494406985
31981,520.588324369376
31982,271.68115833368165
31985,221.9926397971953
31986,415.8747144327409
31988,54.11590993557837
31989,491.9731454661783
31990,74.28626680762463
31991,354.8165438923367
31992,176.94271486210678
31993,182.84768395743654
31994,436.0901986390488
31995,301.7619503059849
31996,277.1942976843325
31998,194.80416469842004
32001,158.64910887609676
32003,357.7349488658332
32004,570.893441404216
32006,2416.151441531111
32007,197.7737225464975
32010,463.6026657699294
32011,237.29917210638857
32012,465.80054154495275
32013,255.27535174913345
32014,170.5870082837727
32015,164.98610166271774
32017,315.957913688905
32018,310.92838472636106
32019,193.74152227257656
32022,116.77968763915057
32025,568.6745954820435
32026,333.3528105724662
32027,369.4648154400594
32030,165.8954787672336
32033,794.3859426165112
32034,445.40569842522723
32035,377.59549213063906
32036,689.8561960292144
32037,571.7456528290705
32038,312.74621674241814
32039,126.07439592064534
32040,581.6777495989704
32043,660.4599341844479
32045,47.870123212299895
32046,251.67956761085492
32047,646.2575442339813
32048,227.27746143744656
32049,603.0976941901268
32050,452.0982187812211
32051,317.63697824883417
32052,738.8997416170135
32055,378.8251981385471
32058,537.0321924504432
32061,174.92896193767538
32062,73.35695199865181
32063,267.88735802715576
32065,628.0792616217933
32066,201.30528368879234
32067,210.62835200856728
32068,167.86994077529874
32071,188.7554283430686
32073,403.5655180440995
32074,308.6120726976998
32075,161.7033181879576
32076,867.0950603579679
32077,208.7459434163885
32078,232.118515037594
32079,146.93908004736915
32082,312.2324452077903
32083,495.0793380557986
32084,312.24959609608334
32086,315.9439946396504
32088,1146.0953565505804
32089,400.2990288733931
32091,348.69735791286104
32092,732.3342269202983
32093,679.565950222812
32094,205.72045291921665
32097,424.2588109483179
32099,233.26260662871033
32102,665.3297442240108
32103,401.04222600260795
32104,255.1375663368332
32107,398.03038324756085
32108,513.0830206057792
32109,394.71453709847185
32110,356.2623351644263
32111,361.50147903869
32112,388.16936936258253
32113,513.5704660224259
32115,450.4025411886614
32117,478.29468264000076
32118,175.7217837162204
32120,652.9044117647059
32122,464.63267388784334
32123,691.5505420426268
32124,643.362758273756
